participant_id,cluster_id,occupation,day_surveyed,frequency_of_interaction,relationship,contact_type,total_time_contact,agecat_contact,agecat_participant,number_casual_contacts,distance_from_home,Rural
1802,18,manual worker,Sunday,Daily or almost daily,Other,Physical,2h - <4h,35-44y olds,15-24y olds,30+,9,Yes
1802,18,manual worker,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,15-24y olds,30+,0,Yes
1802,18,manual worker,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,15-24y olds,30+,0,Yes
1802,18,manual worker,Sunday,Daily or almost daily,Household member,Physical,>4h,65+y olds,15-24y olds,30+,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,2h - <4h,5-9y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,2h - <4h,2-4y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,2h - <4h,5-9y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,Don't know,0,Yes
1804,18,school college university student,Sunday,Daily or almost daily,Other relative,Nonphysical,2h - <4h,65+y olds,5-9y olds,Don't know,0,Yes
1806,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,55-64y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,At least once a month,Friend,Physical,2h - <4h,35-44y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,Daily or almost daily,Other relative,Nonphysical,2h - <4h,25-34y olds,25-34y olds,Oct-19,0,Yes
1806,18,agriculture,Sunday,At least once a month,Friend,Physical,2h - <4h,45-54Y olds,25-34y olds,Oct-19,0,Yes
1810,18,shop worker,Sunday,At least once a week,Other relative,Nonphysical,2h - <4h,35-44y olds,35-44y olds,0-9,0,Yes
1810,18,shop worker,Sunday,At least once a week,Other relative,Nonphysical,2h - <4h,15-24y olds,35-44y olds,0-9,0,Yes
1810,18,shop worker,Sunday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,0-9,0,Yes
1810,18,shop worker,Sunday,Daily or almost daily,Household member,Physical,>4h,65+y olds,35-44y olds,0-9,0,Yes
1810,18,shop worker,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
1810,18,shop worker,Sunday,At least once a week,Friend,Nonphysical,<15mins,25-34y olds,35-44y olds,0-9,0,Yes
1812,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,0-9,0,Yes
1812,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,2-4y olds,0-9,0,Yes
1812,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,0-9,0,Yes
1812,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,2-4y olds,0-9,0,Yes
1812,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,2-4y olds,0-9,0,Yes
1814,18,pre-school child,Sunday,Daily or almost daily,Other relative,Physical,2h - <4h,15-24y olds,<2y olds,0-9,0,Yes
1814,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,<2y olds,0-9,0,Yes
1814,18,pre-school child,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,<2y olds,0-9,0,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Friend,Physical,>4h,35-44y olds,45-54Y olds,30+,0,Yes
1817,18,agriculture,Sunday,At least once a month,Other relative,Physical,>4h,35-44y olds,45-54Y olds,30+,31.3,Yes
1817,18,agriculture,Sunday,At least once a month,Other relative,Physical,<15mins,25-34y olds,45-54Y olds,30+,31.3,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,45-54Y olds,30+,31.3,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Friend,Physical,>4h,25-34y olds,45-54Y olds,30+,0,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,45-54Y olds,30+,0,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,45-54Y olds,30+,0,Yes
1817,18,agriculture,Sunday,Daily or almost daily,Friend,Physical,>4h,35-44y olds,45-54Y olds,30+,0,Yes
1817,18,agriculture,Sunday,At least once a week,Friend,Physical,>4h,35-44y olds,45-54Y olds,30+,31.3,Yes
1821,18,agriculture,Sunday,At least once a week,Other,Physical,2h - <4h,55-64y olds,45-54Y olds,30+,6.1,Yes
1821,18,agriculture,Sunday,At least once a month,Other,Physical,2h - <4h,55-64y olds,45-54Y olds,30+,6.1,Yes
1821,18,agriculture,Sunday,At least once a week,Other,Physical,2h - <4h,45-54Y olds,45-54Y olds,30+,6.1,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,15-24y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,At least once a month,Other relative,Physical,>4h,45-54Y olds,45-54Y olds,30+,26.1,Yes
1821,18,agriculture,Sunday,At least once a week,Other relative,Physical,1h - <2h,55-64y olds,45-54Y olds,30+,6.1,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,1h - <2h,2-4y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,Less than once a month,Other,Physical,15mins - <1h,45-54Y olds,45-54Y olds,30+,26.1,Yes
1821,18,agriculture,Sunday,At least once a month,Other relative,Physical,15mins - <1h,45-54Y olds,45-54Y olds,30+,26.1,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,10-14y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,10-14y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,5-9y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,1h - <2h,10-14y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,10-14y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,At least once a week,Other,Physical,2h - <4h,45-54Y olds,45-54Y olds,30+,6.1,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,45-54Y olds,30+,0,Yes
1821,18,agriculture,Sunday,At least once a month,Other,Nonphysical,<15mins,15-24y olds,45-54Y olds,30+,7.3,Yes
1821,18,agriculture,Sunday,Daily or almost daily,Household member,Nonphysical,2h - <4h,5-9y olds,45-54Y olds,30+,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,1h - <2h,5-9y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Other relative,Nonphysical,15mins - <1h,25-34y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Other,Nonphysical,<15mins,35-44y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,At least once a week,Household member,Physical,>4h,2-4y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,At least once a week,Other relative,Nonphysical,1h - <2h,5-9y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,At least once a week,Other,Nonphysical,<15mins,25-34y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Household member,Nonphysical,>4h,25-34y olds,10-14y olds,0-9,0,Yes
1823,18,school college university student,Sunday,Daily or almost daily,Household member,Nonphysical,>4h,10-14y olds,10-14y olds,0-9,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,1h - <2h,5-9y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other,Physical,1h - <2h,25-34y olds,10-14y olds,Oct-19,7.6,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other,Physical,<15mins,45-54Y olds,10-14y olds,Oct-19,7.6,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Friend,Nonphysical,<15mins,5-9y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,At least once a week,Friend,Nonphysical,<15mins,10-14y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,<15mins,2-4y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,At least once a week,Other,Physical,<15mins,10-14y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,>4h,10-14y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,1h - <2h,10-14y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,2h - <4h,2-4y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other,Physical,2h - <4h,5-9y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,<15mins,5-9y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,10-14y olds,Oct-19,0,Yes
1827,18,school college university student,Sunday,Daily or almost daily,Other relative,Physical,2h - <4h,5-9y olds,10-14y olds,Oct-19,0,Yes
1902,19,manual worker,Thursday,At least once a month,Friend,Physical,1h - <2h,25-34y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,At least once a week,Other relative,Nonphysical,1h - <2h,45-54Y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,2h - <4h,10-14y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,>4h,65+y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,At least once a week,Other relative,Physical,2h - <4h,25-34y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Nonphysical,2h - <4h,25-34y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,<2y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,1h - <2h,25-34y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,At least once a week,Friend,Physical,2h - <4h,35-44y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,>4h,15-24y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Friend,Physical,>4h,15-24y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,1h - <2h,10-14y olds,35-44y olds,30+,0,Yes
1902,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,35-44y olds,30+,0,Yes
1904,19,school college university student,Thursday,At least once a week,Friend,Nonphysical,15mins - <1h,5-9y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,10-14y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,At least once a week,Friend,Nonphysical,1h - <2h,15-24y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,At least once a week,Friend,Nonphysical,1h - <2h,10-14y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,10-14y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,55-64y olds,10-14y olds,20 - 29,0,Yes
1904,19,school college university student,Thursday,Daily or almost daily,Other relative,Physical,>4h,10-14y olds,10-14y olds,20 - 29,0,Yes
1906,19,retired,Thursday,At least once a week,Other,Nonphysical,15mins - <1h,35-44y olds,65+y olds,Oct-19,0,Yes
1906,19,retired,Thursday,At least once a week,Other,Nonphysical,1h - <2h,35-44y olds,65+y olds,Oct-19,0,Yes
1906,19,retired,Thursday,At least once a week,Other,Physical,2h - <4h,25-34y olds,65+y olds,Oct-19,0,Yes
1906,19,retired,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,65+y olds,Oct-19,0,Yes
1906,19,retired,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,65+y olds,Oct-19,0,Yes
1906,19,retired,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,65+y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,35-44y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Friend,Nonphysical,<15mins,25-34y olds,35-44y olds,Oct-19,16.2,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,35-44y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,Oct-19,0,Yes
1910,19,shop worker,Thursday,At least once a week,Friend,Nonphysical,15mins - <1h,25-34y olds,35-44y olds,Oct-19,16.2,Yes
1910,19,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,2h - <4h,35-44y olds,35-44y olds,Oct-19,5.4,Yes
1910,19,shop worker,Thursday,At least once a week,Other,Nonphysical,1h - <2h,35-44y olds,35-44y olds,Oct-19,16.2,Yes
1913,19,school college university student,Thursday,Daily or almost daily,Other relative,Physical,>4h,5-9y olds,10-14y olds,Oct-19,0,Yes
1913,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,10-14y olds,Oct-19,0,Yes
1913,19,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,65+y olds,10-14y olds,Oct-19,0,Yes
1913,19,school college university student,Thursday,Never met before,Other,Physical,<15mins,25-34y olds,10-14y olds,Oct-19,0,Yes
1914,19,others,Thursday,Daily or almost daily,Other relative,Physical,>4h,25-34y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Other relative,Physical,>4h,55-64y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Other relative,Physical,>4h,65+y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Friend,Physical,<15mins,25-34y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,<2y olds,Don't know,0,Yes
1914,19,others,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,<2y olds,Don't know,0,Yes
1917,19,agriculture,Thursday,Daily or almost daily,Friend,Physical,>4h,35-44y olds,25-34y olds,0-9,0,Yes
1917,19,agriculture,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,0-9,0,Yes
1917,19,agriculture,Thursday,Daily or almost daily,Household member,Physical,>4h,65+y olds,25-34y olds,0-9,0,Yes
1917,19,agriculture,Thursday,Daily or almost daily,Household member,Physical,>4h,65+y olds,25-34y olds,0-9,0,Yes
1921,19,manual worker,Thursday,Daily or almost daily,Other relative,Physical,>4h,25-34y olds,45-54Y olds,Oct-19,0,Yes
1921,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,45-54Y olds,Oct-19,0,Yes
1921,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,45-54Y olds,Oct-19,0,Yes
1921,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,45-54Y olds,Oct-19,0,Yes
1921,19,manual worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,45-54Y olds,Oct-19,0,Yes
1929,19,housewife,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,35-44y olds,0-9,0,Yes
1929,19,housewife,Thursday,Daily or almost daily,Household member,Physical,>4h,65+y olds,35-44y olds,0-9,0,Yes
2002,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,15-24y olds,0-9,0,Yes
2002,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,15-24y olds,0-9,0,Yes
2002,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,15-24y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,<2y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,55-64y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,0-9,0,Yes
2004,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,5-9y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,At least once a week,Friend,Physical,>4h,35-44y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,At least once a week,Friend,Physical,>4h,35-44y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2006,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
2010,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,25-34y olds,0-9,0,Yes
2010,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,25-34y olds,0-9,0,Yes
2010,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,25-34y olds,0-9,0,Yes
2010,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,0-9,0,Yes
2010,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,25-34y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Friend,Physical,2h - <4h,15-24y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,0-9,0,Yes
2012,20,others,Monday,Daily or almost daily,Friend,Physical,2h - <4h,25-34y olds,2-4y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Other,Nonphysical,>4h,35-44y olds,45-54Y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,45-54Y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Other,Nonphysical,>4h,25-34y olds,45-54Y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Other,Nonphysical,>4h,45-54Y olds,45-54Y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,45-54Y olds,0-9,0,Yes
2017,20,agriculture,Monday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,45-54Y olds,0-9,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,Oct-19,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,2-4y olds,Oct-19,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,2-4y olds,Oct-19,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,2-4y olds,Oct-19,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,2-4y olds,Oct-19,0,Yes
2020,20,others,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,Oct-19,0,Yes
2021,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
2021,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2021,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,0-9,0,Yes
2021,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2021,20,housewife,Monday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
2023,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,10-14y olds,Don't know,0,Yes
2023,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,10-14y olds,Don't know,0,Yes
2023,20,school college university student,Monday,Daily or almost daily,Friend,Physical,>4h,10-14y olds,10-14y olds,Don't know,0.8,Yes
2023,20,school college university student,Monday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,10-14y olds,Don't know,0.8,Yes
2023,20,school college university student,Monday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,10-14y olds,Don't know,0,Yes
2027,20,pre-school child,Monday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,5-9y olds,0-9,0,Yes
2027,20,pre-school child,Monday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Friend,Physical,>4h,25-34y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,At least once a week,Other,Nonphysical,>4h,35-44y olds,35-44y olds,0-9,7.7,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Friend,Physical,>4h,25-34y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,At least once a week,Other,Nonphysical,>4h,45-54Y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,At least once a week,Friend,Physical,>4h,35-44y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Other relative,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2102,21,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Never met before,Other,Nonphysical,<15mins,35-44y olds,10-14y olds,Oct-19,0.9,Yes
2104,21,pre-school child,Tuesday,At least once a week,Other,Nonphysical,2h - <4h,10-14y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Other,Nonphysical,2h - <4h,15-24y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Other,Nonphysical,2h - <4h,25-34y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Other relative,Physical,2h - <4h,15-24y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,10-14y olds,Oct-19,0,Yes
2104,21,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,10-14y olds,Oct-19,0,Yes
